Path: /HepData/7358/d4-x1-y1
Location: T 1
P : 19.2 GeV
P(P=3,RF=LAB) : 10.0 GeV
RE : P P --> PI- X : P P --> PI+ X : P P --> K- X : P P --> K+ X : P P --> PBAR X : P P --> P X
SQRT(S) : 6.15 GeV
x : THETA(P=1,P=3,RF=LAB) IN MRAD
y : D2(SIG)/D(OMEGA)/D(P) IN B/SR/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	
	12.5	12.5	12.5	0.0121	+3.63E-4	-3.63E-4	0.0369	+0.0011070000000000001	-0.0011070000000000001	2.24E-4	+6.72E-6	-6.72E-6	0.0029	+8.699999999999999E-5	-8.699999999999999E-5	1.42E-5	+5.68E-7	-5.68E-7	0.206	+0.00618	-0.00618
	20.0	20.0	20.0	0.0102	+3.0600000000000007E-4	-3.0600000000000007E-4	0.0306	+9.18E-4	-9.18E-4	1.97E-4	+5.909999999999999E-6	-5.909999999999999E-6	0.00264	+7.92E-5	-7.92E-5	1.17E-5	+3.51E-7	-3.51E-7	0.172	+0.00516	-0.00516
	30.0	30.0	30.0	0.00782	+2.346E-4	-2.346E-4	0.00213	+6.39E-5	-6.39E-5	1.59E-4	+4.769999999999999E-6	-4.769999999999999E-6	0.00219	+6.57E-5	-6.57E-5	8.99E-6	+2.6970000000000004E-7	-2.6970000000000004E-7	0.125	+0.00375	-0.00375
	35.0	35.0	35.0	0.0063	+1.8899999999999999E-4	-1.8899999999999999E-4	-	-	-	1.28E-4	+3.8400000000000005E-6	-3.8400000000000005E-6	-	-	-	6.91E-6	+2.764E-7	-2.764E-7	-	-	-
	40.0	40.0	40.0	0.00575	+1.7250000000000002E-4	-1.7250000000000002E-4	0.0137	+4.11E-4	-4.11E-4	1.15E-4	+3.45E-6	-3.45E-6	0.00166	+4.9800000000000004E-5	-4.9800000000000004E-5	6.59E-6	+1.977E-7	-1.977E-7	0.0892	+0.002676	-0.002676
	50.0	50.0	50.0	0.00345	+1.035E-4	-1.035E-4	0.00876	+2.628E-4	-2.628E-4	7.25E-5	+2.1750000000000004E-6	-2.1750000000000004E-6	0.00118	+3.54E-5	-3.54E-5	4.39E-6	+1.317E-7	-1.317E-7	0.0623	+0.001869	-0.001869
	60.0	60.0	60.0	0.00203	+6.09E-5	-6.09E-5	0.00592	+1.776E-4	-1.776E-4	4.46E-5	+1.338E-6	-1.338E-6	7.68E-4	+2.3040000000000003E-5	-2.3040000000000003E-5	2.85E-6	+1.1399999999999999E-7	-1.1399999999999999E-7	0.042	+0.00126	-0.00126
	70.0	70.0	70.0	0.00135	+4.05E-5	-4.05E-5	0.00404	+1.2119999999999999E-4	-1.2119999999999999E-4	2.85E-5	+8.550000000000001E-7	-8.550000000000001E-7	4.95E-4	+1.485E-5	-1.485E-5	1.96E-6	+7.84E-8	-7.84E-8	0.0281	+8.43E-4	-8.43E-4

