#########################################################################
# N.B.: line starting with # is omitted
#
# Content: 
# --------
# Differential production for 1H-BAR (anti-protons) from 4He CR
#   4He(Ekn) + H,He -> 1H-BAR(Ekn') + X
#
# Source: 
# -------
#	 Donato et al., ApJ 563, 172 (2001) using DTUNUC code (http://sroesler.home.cern.ch/sroesler)
#
# Format: USINE.V3 X-SECTIONS
# -------
#
#  1. First line contains
#     - Type: sigma (total X-sec) or dsigma (differential X-sec).
#     - Units allowed: 
#         i) if total X-section (Type=sigma): mb or cm2
#        ii) if differential X-section (Type=dsigma): mb/GeV or cm2/GeV (must be per Etot)
#     - Targets names: comma-separated list of element targets
#  
#  2. Second line contains energy grid definitions for which the X-sec are provided:
#     - EknMIN: minimal energy considered [GeV/n]
#     - EknMAX: maximum energy considered [GeV/n]
#     - nEkn: number of energy bins
#    N.B.1: Energy points are on a log-step grid (step = EknMAX/EknMIN^{1/(nEkn-1)}),
#           so that Ekn(bin) = EknMIN*step^bin. Hence, providing EknMIN, EknMIN,
#           and nEkn fully defines energy points for which we provide the X-sec below.
#    N.B.2: for differential X-sec (Type=dsigma), an energy grid for fragments must
#           also be provided, along with the order on which we loop on energies. 
#           The nEkn(proj)*nEkn(frag) X-sec can be ordered differently:
#     - Repeated loop value:
#         - Ekn(frag) kept constant and loop on Ekn(proj) => Loop = 1
#         - Ekn(proj) kept constant and loop on Ekn(frag) => Loop = 2
#
#  3. Group of lines/columns for a given reaction
#     - Reaction and isotopes involved (Targets names not repeated here)
#     - X-sec values for the reaction:
#         (i) As many columns as the number of targets
#              if Targets=H,He => first column is X-sec H, second column on He
#         (ii) As many lines as the number of energies
#              => nEkn(proj) for total X-sec, nEkn(proj)*nEkn(frag) for diff. X-sec
##########################################################################

#  Type  Unit     Targets
dsigma   mb/GeV   H,He

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEk  (PROJECTILE GRID)
5.629632e+00      1.000000e+04    301

# EknMIN[GeV/n]   EknMAX[GeV/n]   nEkn  (FRAGMENT GRID)
1.000000e-01      1.000000e+02    151

# Repeated loop
1

4He -> 1H-bar
9.720963e-03 2.105270e-01
9.867327e-03 2.128855e-01
1.001365e-02 2.153029e-01
1.015978e-02 2.177802e-01
1.030570e-02 2.203192e-01
1.045127e-02 2.229209e-01
1.059649e-02 2.255865e-01
1.074128e-02 2.283182e-01
1.088540e-02 2.311180e-01
1.102900e-02 2.339872e-01
1.117196e-02 2.369273e-01
1.131417e-02 2.399398e-01
1.145557e-02 2.430259e-01
1.160185e-02 2.463120e-01
1.173950e-02 2.495025e-01
1.187650e-02 2.527700e-01
1.201428e-02 2.561550e-01
1.215233e-02 2.596428e-01
1.228983e-02 2.632173e-01
1.242699e-02 2.668787e-01
1.256402e-02 2.706302e-01
1.270105e-02 2.744746e-01
1.283847e-02 2.784123e-01
1.297643e-02 2.824471e-01
1.311543e-02 2.865810e-01
1.325585e-02 2.908154e-01
1.339838e-02 2.951541e-01
1.354348e-02 2.995991e-01
1.369188e-02 3.041524e-01
1.384442e-02 3.088170e-01
1.400203e-02 3.135944e-01
1.416581e-02 3.184889e-01
1.433686e-02 3.235026e-01
1.451659e-02 3.286378e-01
1.470653e-02 3.338972e-01
1.490837e-02 3.392850e-01
1.512407e-02 3.448039e-01
1.535572e-02 3.504555e-01
1.560584e-02 3.562438e-01
1.587702e-02 3.621722e-01
1.617223e-02 3.682433e-01
1.649487e-02 3.744615e-01
1.684860e-02 3.808287e-01
1.723744e-02 3.873486e-01
1.766593e-02 3.940253e-01
1.813904e-02 4.008620e-01
2.178993e-02 3.221396e-01
2.451905e-02 2.569445e-01
2.451905e-02 2.569583e-01
2.451905e-02 2.569732e-01
2.451905e-02 2.569885e-01
2.451905e-02 2.570038e-01
2.451905e-02 2.570191e-01
2.451905e-02 2.570351e-01
2.451905e-02 2.570514e-01
2.451905e-02 2.570684e-01
2.451905e-02 2.570857e-01
2.451905e-02 2.571038e-01
2.451905e-02 2.571222e-01
2.451905e-02 2.571401e-01
2.451905e-02 2.571592e-01
2.451905e-02 2.571786e-01
2.451905e-02 2.571989e-01
2.451905e-02 2.572192e-01
2.451905e-02 2.572405e-01
2.451905e-02 2.572620e-01
2.451905e-02 2.572843e-01
2.451905e-02 2.573075e-01
2.451905e-02 2.573305e-01
2.451905e-02 2.573547e-01
2.451905e-02 2.573791e-01
2.451905e-02 2.574037e-01
2.451905e-02 2.574292e-01
2.451905e-02 2.574553e-01
2.451905e-02 2.574829e-01
2.451905e-02 2.575105e-01
2.451905e-02 2.575391e-01
2.451905e-02 2.575680e-01
2.451905e-02 2.575986e-01
2.451905e-02 2.576292e-01
2.451905e-02 2.576603e-01
2.451905e-02 2.576929e-01
2.451905e-02 2.577257e-01
2.451905e-02 2.577593e-01
2.451905e-02 2.577940e-01
2.451905e-02 2.578293e-01
2.451905e-02 2.578660e-01
2.451905e-02 2.579035e-01
2.451905e-02 2.579423e-01
2.451905e-02 2.579815e-01
2.451905e-02 2.580215e-01
2.451905e-02 2.580625e-01
2.451905e-02 2.581052e-01
2.451905e-02 2.581491e-01
2.451905e-02 2.581935e-01
2.451905e-02 2.582389e-01
2.451905e-02 2.582860e-01
2.451905e-02 2.583342e-01
2.451905e-02 2.583830e-01
2.451905e-02 2.584332e-01
2.451905e-02 2.584855e-01
2.451905e-02 2.585385e-01
2.451905e-02 2.585930e-01
2.451905e-02 2.586484e-01
2.451905e-02 2.587058e-01
2.451905e-02 2.587647e-01
2.451905e-02 2.588247e-01
2.451905e-02 2.588865e-01
2.451905e-02 2.589491e-01
2.451905e-02 2.590139e-01
2.451905e-02 2.590801e-01
2.451905e-02 2.591490e-01
2.451905e-02 2.592184e-01
2.451905e-02 2.592901e-01
2.451905e-02 2.593634e-01
2.451905e-02 2.594388e-01
2.451905e-02 2.595190e-01
2.451905e-02 2.595955e-01
2.451905e-02 2.596759e-01
2.451905e-02 2.597586e-01
2.451905e-02 2.598439e-01
2.451905e-02 2.599309e-01
2.451905e-02 2.600209e-01
2.451905e-02 2.601129e-01
2.451905e-02 2.602068e-01
2.451905e-02 2.603039e-01
2.451905e-02 2.604025e-01
2.451905e-02 2.605043e-01
2.451905e-02 2.606081e-01
2.451905e-02 2.607148e-01
2.451905e-02 2.608241e-01
2.451905e-02 2.609362e-01
2.451905e-02 2.610513e-01
2.451905e-02 2.611693e-01
2.451905e-02 2.612902e-01
2.451905e-02 2.614138e-01
2.451905e-02 2.615412e-01
2.451905e-02 2.616712e-01
2.451905e-02 2.618048e-01
2.451905e-02 2.619417e-01
2.451905e-02 2.620816e-01
