#     kin energy/GeV   Total pbar D XS/mb
                0.01              420.727
     0.0125892541179        388.375222702
     0.0158489319246        357.699359905
     0.0199526231497        328.681433685
     0.0251188643151        301.402412693
     0.0316227766017        275.998252746
     0.0398107170553        252.611170909
     0.0501187233627        231.557113167
      0.063095734448        213.048139708
     0.0794328234724        196.799617699
                 0.1        182.208497579
      0.125892541179        168.849489726
      0.158489319246        156.611793249
      0.199526231497        145.460187619
      0.251188643151        135.638064737
      0.316227766017        127.579524133
      0.398107170553        121.301282389
      0.501187233627        115.588110163
       0.63095734448        109.196954833
      0.794328234724        102.078120313
                 1.0        95.0919374326
       1.25892541179        88.8048717827
       1.58489319246         83.146691027
       1.99526231497        77.9420774287
       2.51188643151        73.0918755711
       3.16227766017        68.5543791509
       3.98107170553        64.3523457798
       5.01187233627        60.7139945274
        6.3095734448        57.8536013122
       7.94328234724        55.6713659062
                10.0        53.8216195167
       12.5892541179        52.0557523519
       15.8489319246        50.3861371014
       19.9526231497        48.8769168365
       25.1188643151        47.5389148234
       31.6227766017        46.3374420404
       39.8107170554        45.2534363477
       50.1187233627        44.3239972973
        63.095734448         43.594464256
       79.4328234724        43.0475534278
               100.0        42.6081184938
       125.892541179        42.2252582603
       158.489319246         41.940552864
       199.526231497        41.8146158961
       251.188643151        41.8429016335
       316.227766017        41.9565862112
       398.107170554        42.0941124572
       501.187233627        42.2333289403
        630.95734448         42.362679048
       794.328234724        42.4897963406
              1000.0        42.6418052987
       1258.92541179        42.8475165904
       1584.89319246        43.1381392483
       1995.26231497        43.5444039432
       2511.88643151        44.0491933161
       3162.27766017        44.5848881243
       3981.07170554        45.1024858349
       5011.87233627         45.647669753
        6309.5734448        46.2903674469
       7943.28234724        47.0436162489
             10000.0        47.8595512378
       12589.2541179        48.6982277332
       15848.9319246        49.5732108214
       19952.6231497        50.5115022777
       25118.8643151        51.4978253907
       31622.7766017        52.4704668451
       39810.7170554        53.3809566587
       50118.7233627        54.2587411973
        63095.734448         55.156408707
       79432.8234724         56.136886791
            100000.0        57.2746065021
       125892.541179         58.620641422
       158489.319246        60.1075730649
       199526.231497        61.6325649008
       251188.643151        63.1528031983
       316227.766017        64.6936954118
       398107.170554        66.2848587557
       501187.233627        67.9521668166
        630957.34448        69.7208372385
       794328.234724        71.5837293504
           1000000.0        73.4969042893
       1258925.41179        75.4356903057
       1584893.19246        77.4787908221
       1995262.31497        79.7363247741
       2511886.43151        82.2247280071
       3162277.66017        84.8522046765
       3981071.70554        87.5311715748
       5011872.33627        90.2516771467
        6309573.4448        93.0267582018
       7943282.34724        95.9002929416
          10000000.0        98.9515111562
