Path: /HepData/7358/d8-x1-y1
Location: T 1
P : 19.2 GeV
P(P=3,RF=LAB) : 14.0 GeV
RE : P P --> PI- X : P P --> PI+ X : P P --> K- X : P P --> K+ X : P P --> PBAR X : P P --> P X
SQRT(S) : 6.15 GeV
x : THETA(P=1,P=3,RF=LAB) IN MRAD
y : D2(SIG)/D(OMEGA)/D(P) IN B/SR/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	y	dy+	dy-	
	12.5	12.5	12.5	0.00114	+3.42E-5	-3.42E-5	0.00712	+3.56E-4	-3.56E-4	2.98E-6	+8.939999999999999E-8	-8.939999999999999E-8	8.53E-4	+4.265E-5	-4.265E-5	2.06E-8	+3.2959999999999998E-9	-3.2959999999999998E-9	0.385	+0.01925	-0.01925
	20.0	20.0	20.0	6.99E-4	+2.097E-5	-2.097E-5	0.00419	+1.2570000000000002E-4	-1.2570000000000002E-4	2.18E-6	+8.72E-8	-8.72E-8	6.36E-4	+1.9079999999999997E-5	-1.9079999999999997E-5	1.28E-8	+3.584E-9	-3.584E-9	0.258	+0.00774	-0.00774
	30.0	30.0	30.0	3.85E-4	+1.155E-5	-1.155E-5	0.00196	+5.879999999999999E-5	-5.879999999999999E-5	1.18E-6	+5.9E-8	-5.9E-8	3.91E-4	+1.173E-5	-1.173E-5	2.96E-9	+1.7168E-9	-1.7168E-9	0.127	+0.00381	-0.00381
	35.0	35.0	35.0	2.66E-4	+7.98E-6	-7.98E-6	-	-	-	8.32E-7	+5.824000000000001E-8	-5.824000000000001E-8	-	-	-	5.09E-9	+2.4940999999999995E-9	-2.4940999999999995E-9	-	-	-
	40.0	40.0	40.0	1.97E-4	+5.909999999999999E-6	-5.909999999999999E-6	0.00106	+3.18E-5	-3.18E-5	5.93E-7	+3.558E-8	-3.558E-8	2.19E-4	+6.570000000000001E-6	-6.570000000000001E-6	2.44E-9	+1.4151999999999998E-9	-1.4151999999999998E-9	0.0638	+0.001914	-0.001914
	50.0	50.0	50.0	9.88E-5	+2.9640000000000003E-6	-2.9640000000000003E-6	5.58E-4	+2.79E-5	-2.79E-5	2.52E-7	+2.268E-8	-2.268E-8	1.05E-4	+5.2500000000000006E-6	-5.2500000000000006E-6	2.48E-9	+1.4384000000000001E-9	-1.4384000000000001E-9	0.0304	+0.00152	-0.00152
	60.0	60.0	60.0	4.77E-5	+1.4310000000000001E-6	-1.4310000000000001E-6	2.95E-4	+8.85E-6	-8.85E-6	1.28E-7	+1.9200000000000003E-8	-1.9200000000000003E-8	4.72E-5	+1.416E-6	-1.416E-6	2.36E-9	+1.6756E-9	-1.6756E-9	0.0156	+4.68E-4	-4.68E-4
	70.0	70.0	70.0	2.09E-5	+6.27E-7	-6.27E-7	1.26E-4	+3.7800000000000002E-6	-3.7800000000000002E-6	-	-	-	2.01E-5	+6.03E-7	-6.03E-7	-	-	-	0.00737	+2.211E-4	-2.211E-4

