#     kin energy/GeV     NAR pbar D XS/mb                lower                upper
                0.01                  0.0                  0.0                  0.0
     0.0125892541179                  0.0                  0.0                  0.0
     0.0158489319246                  0.0                  0.0                  0.0
     0.0199526231497                  0.0                  0.0                  0.0
     0.0251188643151                  0.0                  0.0                  0.0
     0.0316227766017                  0.0                  0.0                  0.0
     0.0398107170553                  0.0                  0.0                  0.0
     0.0501187233627                  0.0                  0.0                  0.0
      0.063095734448                  0.0                  0.0                  0.0
     0.0794328234724                  0.0                  0.0                  0.0
                 0.1                  0.0                  0.0                  0.0
      0.125892541179                  0.0                  0.0                  0.0
      0.158489319246                  0.0                  0.0                  0.0
      0.199526231497                  0.0                  0.0                  0.0
      0.251188643151                  0.0                  0.0                  0.0
      0.316227766017      0.0383149320719      0.0382899873118       0.038339876832
      0.398107170553        0.13981401695       0.139693434364       0.139934599537
      0.501187233627       0.406176808509       0.406169587702       0.406184029316
       0.63095734448       0.972384659289       0.972651380286       0.972117938292
      0.794328234724         1.9058996864        1.90609127598        1.90570809681
                 1.0        3.00417045589        3.00415333294        3.00418757884
       1.25892541179        3.74036715032        3.74003714802        3.74069715262
       1.58489319246        3.87590321761        3.87538168024        3.87642475498
       1.99526231497          3.522775783        3.47308907388        3.57246249212
       2.51188643151        2.97961720488        2.87885337706         3.0803810327
       3.16227766017        2.40097039485        2.37119844216        2.43074234754
       3.98107170553         1.9922608291        2.09718916692        1.88733249127
       5.01187233627        1.79626783537        1.95006013683        1.64247553391
        6.3095734448        1.68286860015        1.85800080201         1.5077363983
       7.94328234724        1.59370852063          1.793324123        1.39409291827
                10.0        1.52158054096        1.74665498542        1.29650609649
       12.5892541179        1.46132601258         1.7103640179        1.21228800726
       15.8489319246        1.40844647845        1.67764745946        1.13924549745
       19.9526231497        1.35921215888        1.64277887254        1.07564544521
       25.1188643151        1.31333179471        1.60591169218        1.02075189724
       31.6227766017        1.27236282208        1.57038815696         0.9743374872
       39.8107170554        1.23776500152        1.53930939451       0.936220608544
       50.1187233627        1.21091883542        1.51554607045       0.906291600382
        63.095734448        1.19319918164        1.50185303786       0.884545325416
       79.4328234724        1.17930314332        1.48772344646       0.870882840182
               100.0        1.16234947251        1.47253657515       0.852162369876
       125.892541179        1.15190504534        1.45930492548       0.844505165206
       158.489319246        1.14413828213        1.44946550698        0.83881105728
       199.526231497        1.14070272165        1.44511312537       0.836292317922
       251.188643151        1.14147435656        1.44609068045        0.83685803267
       316.227766017        1.14457567184        1.45001961946       0.839131724224
       398.107170554        1.14832738783        1.45477252652       0.841882249144
       501.187233627        1.15212521349        1.45958384818       0.844666578806
        630.95734448        1.15565388443         1.4640541879        0.84725358096
       794.328234724        1.15912164417        1.46844736153       0.849795926812
              1000.0        1.16326844855        1.47370079112       0.852836105974
       1258.92541179        1.16888025259        1.48081017336       0.856950331808
       1584.89319246        1.17680843869        1.49085409242       0.862762784966
       1995.26231497        1.18789133957        1.50489460028       0.870888078864
       2511.88643151        1.20166199366          1.522340121       0.880983866322
       3162.27766017        1.21627574803        1.54085373358       0.891697762486
       3981.07170554        1.23039581358        1.55874191045       0.902049716698
       5011.87233627        1.24526843086        1.57758346666        0.91295339506
        6309.5734448        1.26280122395        1.59979509896       0.925807348938
       7943.28234724        1.28334985127        1.62582737756       0.940872324978
             10000.0        1.30560855777        1.65402609078       0.957191024756
       12589.2541179        1.32848765256        1.68301075046       0.973964554664
       15848.9319246        1.35235719121        1.71325016599       0.991464216428
       19952.6231497        1.37795378214        1.74567751872        1.01023004555
       25118.8643151        1.40486067666         1.7797648455        1.02995650781
       31622.7766017        1.43139433553        1.81337933417         1.0494093369
       39810.7170554        1.45623249765        1.84484586212        1.06761913317
       50118.7233627        1.48017845986        1.87518209578        1.08517482395
        63095.734448        1.50466682953        1.90620548491        1.10312817414
       79432.8234724        1.53141427166         1.9400908075        1.12273773582
            100000.0        1.56245126538        1.97941040071        1.14549213004
       125892.541179        1.59917109799        2.02592936754        1.17241282844
       158489.319246        1.63973459321        2.07731772512         1.2021514613
       199526.231497         1.6813363705        2.13002144298        1.23265129802
       251188.643151        1.72280847125        2.18256087854        1.26305606397
       316227.766017        1.76484401084        2.23581411344        1.29387390824
       398107.170554        1.80825094686         2.2908047186        1.32569717511
       501187.233627        1.85373511076        2.34842688518        1.35904333633
        630957.34448        1.90198443987        2.40955213496        1.39441674477
       794328.234724        1.95280413667        2.47393368634        1.43167458701
           1000000.0        2.00499554901        2.54005301224        1.46993808579
       1258925.41179        2.05788563154        2.60705745696        1.50871380611
       1584893.19246        2.11362141363        2.67766701082        1.54957581644
       1995262.31497        2.17520693984         2.7556873842        1.59472649548
       2511886.43151        2.24309058003        2.84168659992        1.64449456014
       3162277.66017        2.31476814357        2.93249219362        1.69704409353
       3981071.70554        2.38785036056        3.02507728962         1.7506234315
       5011872.33627        2.46206575257         3.1190979622        1.80503354293
        6309573.4448        2.53776996375        3.21500476346        1.86053516404
       7943282.34724        2.61615999145        3.31431412406        1.91800585883
          10000000.0        2.71615999145        3.41431412406        2.01800585883
